outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,pa_id
4,88,"Tonas, A. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Shaw, M.",B9,9-8,1B,0,1,0,Ball,Slider,78,,,,B,0,9,5
4,89,"Tonas, A. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,15,,"Tonas, A.","Shaw, M.",B9,9-8,1B,0,2,0,BIP,Fastball,87,Fly Ball,Home Run,,B,0,9,5
5,90,"Tonas, A. VS Winters, M.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Winters, M.",B9,4-4,-,0,0,0,Strike Taken,Fastball,88,,,,B,0,9,1
5,91,"Tonas, A. VS Winters, M.",Georgetown University vs College of William & Mary,,,9,,"Tonas, A.","Winters, M.",B9,4-4,-,0,0,1,BIP,Changeup,82,Fly Ball,Flyout,,B,0,9,1
5,92,"Tonas, A. VS Ragone, C.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Ragone, C.",B9,4-4,-,1,0,0,Strike Taken,Changeup,79,,,,B,0,9,2
5,93,"Tonas, A. VS Ragone, C.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Ragone, C.",B9,4-4,-,1,0,1,Strike Swinging,Fastball,88,,,,B,0,9,2
5,94,"Tonas, A. VS Ragone, C.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Ragone, C.",B9,4-4,-,1,0,2,Ball,Slider,80,,,,B,0,9,2
5,95,"Tonas, A. VS Ragone, C.",Georgetown University vs College of William & Mary,,,7,,"Tonas, A.","Ragone, C.",B9,4-4,-,1,1,2,Ball,Slider,79,,,,B,0,9,2
5,96,"Tonas, A. VS Ragone, C.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Ragone, C.",B9,4-4,-,1,2,2,Strike Taken,Slider,79,,,Strikeout,B,0,9,2
5,97,"Tonas, A. VS Delossantos, J.",Georgetown University vs College of William & Mary,,,4,,"Tonas, A.","Delossantos, J.",B9,4-4,-,2,0,0,Strike Taken,Fastball,87,,,,B,0,9,3
5,98,"Tonas, A. VS Delossantos, J.",Georgetown University vs College of William & Mary,,,4,,"Tonas, A.","Delossantos, J.",B9,4-4,-,2,0,1,Ball,Changeup,82,,,,B,0,9,3
5,99,"Tonas, A. VS Delossantos, J.",Georgetown University vs College of William & Mary,,,4,,"Tonas, A.","Delossantos, J.",B9,4-4,-,2,1,1,Ball,Fastball,89,,,,B,0,9,3
5,100,"Tonas, A. VS Delossantos, J.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Delossantos, J.",B9,4-4,-,2,2,1,Ball,Changeup,82,,,,B,0,9,3
5,101,"Tonas, A. VS Delossantos, J.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Delossantos, J.",B9,4-4,-,2,3,1,Strike Taken,Fastball,89,,,,B,0,9,3
5,102,"Tonas, A. VS Delossantos, J.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Delossantos, J.",B9,4-4,-,2,3,2,Foul,Fastball,89,,,,B,0,9,3
5,103,"Tonas, A. VS Delossantos, J.",Georgetown University vs College of William & Mary,,,6,,"Tonas, A.","Delossantos, J.",B9,4-4,-,2,3,2,Strike Swinging,Slider,79,,,Strikeout,B,0,9,3
5,104,"Tonas, A. VS Solomon, T.",Georgetown University vs College of William & Mary,,,7,,"Tonas, A.","Solomon, T.",B10,5-4,2B,0,0,0,Foul,Fastball,88,,,,B,0,10,4
5,105,"Tonas, A. VS Solomon, T.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Solomon, T.",B10,5-4,-,0,0,1,Strike Taken,Slider,77,,,,B,0,10,4
5,106,"Tonas, A. VS Solomon, T.",Georgetown University vs College of William & Mary,,,8,,"Tonas, A.","Solomon, T.",B10,5-4,-,0,0,2,Strike Swinging,Slider,77,,,Strikeout,B,0,10,4
5,107,"Tonas, A. VS Williamson, B.",Georgetown University vs College of William & Mary,,,11,,"Tonas, A.","Williamson, B.",B10,5-4,-,1,0,0,BIP,Slider,77,Line Drive,Single,,B,0,10,5
5,108,"Tonas, A. VS Thomas, M.",Georgetown University vs College of William & Mary,,,6,,"Tonas, A.","Thomas, M.",B10,5-4,1B,1,0,0,Foul,Fastball,85,,,,B,0,10,6
5,109,"Tonas, A. VS Thomas, M.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Thomas, M.",B10,5-4,1B,1,0,1,Ball,Fastball,85,,,,B,0,10,6
5,110,"Tonas, A. VS Thomas, M.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Thomas, M.",B10,5-4,1B,1,1,1,Ball,Fastball,87,,,,B,0,10,6
5,111,"Tonas, A. VS Thomas, M.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Thomas, M.",B10,5-4,1B,1,2,1,Foul,Fastball,88,,,,B,0,10,6
5,112,"Tonas, A. VS Thomas, M.",Georgetown University vs College of William & Mary,,,5,,"Tonas, A.","Thomas, M.",B10,5-4,1B,1,2,2,Ball,Fastball,89,,,,B,0,10,6
5,113,"Tonas, A. VS Thomas, M.",Georgetown University vs College of William & Mary,,,8,,"Tonas, A.","Thomas, M.",B10,5-4,1B,1,3,2,BIP,Slider,77,Line Drive,Lined Into Double Play,,B,0,10,6
6,114,"Tonas, A. VS Shapiro, C.",University of Massachusetts vs Georgetown University,,,6,,"Tonas, A.","Shapiro, C.",T8,7-8,-,2,0,0,Foul,Fastball,86,,,,T,1,8,1
6,115,"Tonas, A. VS Shapiro, C.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","Shapiro, C.",T8,7-8,-,2,0,1,Strike Taken,Fastball,86,,,,T,1,8,1
