outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
18,2497,"Williams, A. VS Whalen, B.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.2,,"Williams, A.","Whalen, B.",B4,3,0, - ,1,2,1,Strike Swinging,Changeup,81,"","",,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,11,2
18,2498,"Williams, A. VS Whalen, B.","Georgetown University vs Indiana University, Bloomington",,,00:00:06.3,,"Williams, A.","Whalen, B.",B4,3,0, - ,1,2,2,Ball,Curveball,76,"","",,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,11,2
18,2499,"Williams, A. VS Whalen, B.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.5,,"Williams, A.","Whalen, B.",B4,3,0, - ,1,3,2,Foul,Changeup,80,"","",,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,11,2
18,2500,"Williams, A. VS Whalen, B.","Georgetown University vs Indiana University, Bloomington",,,00:00:10.2,,"Williams, A.","Whalen, B.",B4,3,0, - ,1,3,2,BIP,Fastball,88,Ground Ball,Single,,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,11,2
18,2501,"Williams, A. VS Jessee, H.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.5,,"Williams, A.","Jessee, H.",B4,3,0,1B,1,0,0,Strike Swinging,Slider,76,"","",,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,12,3
18,2502,"Williams, A. VS Jessee, H.","Georgetown University vs Indiana University, Bloomington",,,00:00:06.7,,"Williams, A.","Jessee, H.",B4,3,0,1B,1,0,1,Strike Swinging,Curveball,0,"","",,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,12,3
18,2503,"Williams, A. VS Jessee, H.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.7,,"Williams, A.","Jessee, H.",B4,3,0,1B,1,0,2,Strike Taken,Curveball,74,"","",Strikeout,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,12,3
18,2504,"Williams, A. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:06.2,,"Williams, A.","Pyne, J.",B4,3,0,1B,2,0,0,Strike Swinging,Curveball,74,"","",,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,13,4
18,2505,"Williams, A. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.9,,"Williams, A.","Pyne, J.",B4,3,0,1B,2,0,1,Strike Taken,Changeup,80,"","",,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,13,4
18,2506,"Williams, A. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.7,,"Williams, A.","Pyne, J.",B4,3,0,1B,2,0,2,Foul,Fastball,88,"","",,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,13,4
18,2507,"Williams, A. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:10.7,,"Williams, A.","Pyne, J.",B4,3,0,1B,2,0,2,Ball,Changeup,80,"","",,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,13,4
18,2508,"Williams, A. VS Pyne, J.","Georgetown University vs Indiana University, Bloomington",,,00:00:09.1,,"Williams, A.","Pyne, J.",B4,3,0,2B,2,1,2,Strike Swinging,Curveball,73,"","",Strikeout,,B,0,4,Georgetown University,"Indiana University, Bloomington",3,13,4
18,2509,"Williams, A. VS Mathison, C.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.9,,"Williams, A.","Mathison, C.",B5,3,0, - ,0,0,0,Ball,Fastball,88,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,14,5
18,2510,"Williams, A. VS Mathison, C.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.7,,"Williams, A.","Mathison, C.",B5,3,0, - ,0,1,0,Ball,Slider,77,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,14,5
18,2511,"Williams, A. VS Mathison, C.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.8,,"Williams, A.","Mathison, C.",B5,3,0, - ,0,2,0,Strike Swinging,Changeup,83,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,14,5
18,2512,"Williams, A. VS Mathison, C.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.2,,"Williams, A.","Mathison, C.",B5,3,0, - ,0,2,1,Foul,Fastball,88,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,14,5
18,2513,"Williams, A. VS Mathison, C.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.9,,"Williams, A.","Mathison, C.",B5,3,0, - ,0,2,2,Ball,Slider,77,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,14,5
18,2514,"Williams, A. VS Mathison, C.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.8,,"Williams, A.","Mathison, C.",B5,3,0, - ,0,3,2,Ball,Slider,79,"","",Walk,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,14,5
18,2515,"Williams, A. VS Tibbitts, B.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.0,,"Williams, A.","Tibbitts, B.",B5,3,0,1B,0,0,0,Ball,Changeup,81,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,15,6
18,2516,"Williams, A. VS Tibbitts, B.","Georgetown University vs Indiana University, Bloomington",,,00:00:09.2,,"Williams, A.","Tibbitts, B.",B5,3,0,1B,0,1,0,Foul,Changeup,0,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,15,6
18,2517,"Williams, A. VS Tibbitts, B.","Georgetown University vs Indiana University, Bloomington",,,00:00:09.4,,"Williams, A.","Tibbitts, B.",B5,3,0,1B,0,1,1,BIP,Curveball,74,Line Drive,Lineout,,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,15,6
18,2518,"Williams, A. VS Colopy, M.","Georgetown University vs Indiana University, Bloomington",,,00:00:06.8,,"Williams, A.","Colopy, M.",B5,3,0,1B,1,0,0,Ball,Fastball,85,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,16,7
18,2519,"Williams, A. VS Colopy, M.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.1,,"Williams, A.","Colopy, M.",B5,3,0,1B,1,1,0,Foul,Changeup,81,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,16,7
18,2520,"Williams, A. VS Colopy, M.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.2,,"Williams, A.","Colopy, M.",B5,3,0,1B,1,1,1,Foul,Fastball,87,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,16,7
18,2521,"Williams, A. VS Colopy, M.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.9,,"Williams, A.","Colopy, M.",B5,3,0,1B,1,1,2,Ball,Changeup,81,"","",,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,16,7
18,2522,"Williams, A. VS Colopy, M.","Georgetown University vs Indiana University, Bloomington",,,00:00:10.2,,"Williams, A.","Colopy, M.",B5,3,0,1B,1,2,2,BIP,Changeup,80,Ground Ball,Grounded Into Double Play,,,B,0,5,Georgetown University,"Indiana University, Bloomington",3,16,7
18,2523,"Williams, A. VS Cerny, T.","Georgetown University vs Indiana University, Bloomington",,,00:00:14.0,,"Williams, A.","Cerny, T.",B6,3,0, - ,0,0,0,BIP,Fastball,87,Line Drive,Double,,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,17,8
18,2524,"Williams, A. VS Serruto, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.0,,"Williams, A.","Serruto, P.",B6,3,0,2B,0,0,0,Foul,Fastball,87,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,18,9
18,2525,"Williams, A. VS Serruto, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.0,,"Williams, A.","Serruto, P.",B6,3,0,2B,0,0,1,Ball,Changeup,79,"","",,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,18,9
18,2526,"Williams, A. VS Serruto, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:09.4,,"Williams, A.","Serruto, P.",B6,3,0,2B,0,1,1,BIP,Fastball,85,Ground Ball,Groundout,,,B,0,6,Georgetown University,"Indiana University, Bloomington",3,18,9
