X.,Title,Notes,Tags,Text.Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners.On.Base,Outs,Count,Pitch.Result,Pitch.Type,Velocity..MPH.,BIP.Type,BIP.Result,Non.BIP.Result
"Jensen, C. VS Smith, D.",University of Connecticut vs Stanford University,,,00:00:05.9,,"Jensen, C.","Smith, D.",T9,11-6, - ,0,0-1,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Smith, D.",University of Connecticut vs Stanford University,,,00:00:06.8,,"Jensen, C.","Smith, D.",T9,11-6, - ,0,0-2,Foul,Fastball,0,"","","",
"Jensen, C. VS Smith, D.",University of Connecticut vs Stanford University,,,00:00:07.1,,"Jensen, C.","Smith, D.",T9,11-6, - ,0,0-2,Strike Taken,Fastball,0,"","",Strikeout,
"Jensen, C. VS Stock, E.",University of Connecticut vs Stanford University,,,00:00:09.9,,"Jensen, C.","Stock, E.",T9,11-6, - ,1,0-0,BIP,Fastball,0,Ground Ball,Groundout,"",
"Jensen, C. VS Dana, C.",University of Connecticut vs Stanford University,,,00:00:11.8,,"Jensen, C.","Dana, C.",T9,11-6, - ,2,0-0,BIP,Slider,0,Popup,Popout,"",
"Jensen, C. VS Stapleton, C.",Stanford University vs University of San Francisco,,,00:00:07.1,,"Jensen, C.","Stapleton, C.",B3,0-2,1B-2B-3B,0,0-0,Strike Swinging,Fastball,85,"","","",
"Jensen, C. VS Stapleton, C.",Stanford University vs University of San Francisco,,,00:00:05.4,,"Jensen, C.","Stapleton, C.",B3,0-2,1B-2B-3B,0,0-1,Strike Swinging,Changeup,77,"","","",
"Jensen, C. VS Stapleton, C.",Stanford University vs University of San Francisco,,,00:00:05.7,,"Jensen, C.","Stapleton, C.",B3,0-2,1B-2B-3B,0,0-2,Ball,Changeup,78,"","","",
"Jensen, C. VS Stapleton, C.",Stanford University vs University of San Francisco,,,00:00:07.3,,"Jensen, C.","Stapleton, C.",B3,0-2,1B-2B-3B,0,1-2,Ball,Changeup,79,"","",Hit By Pitch,
"Jensen, C. VS Campagna, M.",Stanford University vs University of San Francisco,,,00:00:05.3,,"Jensen, C.","Campagna, M.",B3,0-3,1B-2B-3B,0,0-0,Ball,Fastball,85,"","","",
"Jensen, C. VS Campagna, M.",Stanford University vs University of San Francisco,,,00:00:10.9,,"Jensen, C.","Campagna, M.",B3,0-3,1B-2B-3B,0,1-0,BIP,Fastball,86,Fly Ball,Flyout,"",
"Jensen, C. VS Cosgrove, J.",Stanford University vs University of San Francisco,,,00:00:06.1,,"Jensen, C.","Cosgrove, J.",B3,0-3,1B-2B-3B,1,0-0,Ball,Slider,80,"","","",
"Jensen, C. VS Cosgrove, J.",Stanford University vs University of San Francisco,,,00:00:06.4,,"Jensen, C.","Cosgrove, J.",B3,0-3,1B-2B-3B,1,1-0,Ball,Fastball,86,"","",Hit By Pitch,
"Jensen, C. VS Keaschall, L.",Stanford University vs University of San Francisco,,,00:00:06.4,,"Jensen, C.","Keaschall, L.",B3,0-4,1B-2B-3B,1,0-0,Foul,Fastball,86,"","","",
"Jensen, C. VS Keaschall, L.",Stanford University vs University of San Francisco,,,00:00:05.8,,"Jensen, C.","Keaschall, L.",B3,0-4,1B-2B-3B,1,0-1,Foul,Slider,81,"","","",
"Jensen, C. VS Keaschall, L.",Stanford University vs University of San Francisco,,,00:00:07.0,,"Jensen, C.","Keaschall, L.",B3,0-4,1B-2B-3B,1,0-2,Ball,Slider,79,"","","",
"Jensen, C. VS Keaschall, L.",Stanford University vs University of San Francisco,,,00:00:12.1,,"Jensen, C.","Keaschall, L.",B3,0-4,1B-2B-3B,1,1-2,BIP,Changeup,79,Line Drive,Sacrifice Fly,"",
"Jensen, C. VS Williams, H.",Stanford University vs University of San Francisco,,,00:00:05.5,,"Jensen, C.","Williams, H.",B3,0-5,1B-2B,2,0-0,Ball,Fastball,84,"","","",
"Jensen, C. VS Williams, H.",Stanford University vs University of San Francisco,,,00:00:12.2,,"Jensen, C.","Williams, H.",B3,0-5,1B-2B,2,1-0,BIP,Changeup,76,Line Drive,Single,"",
"Jensen, C. VS Giosso, G.",Stanford University vs University of San Francisco,,,00:00:05.7,,"Jensen, C.","Giosso, G.",B3,0-6,1B-2B,2,0-0,Strike Taken,Slider,79,"","","",
"Jensen, C. VS Giosso, G.",Stanford University vs University of San Francisco,,,00:00:05.6,,"Jensen, C.","Giosso, G.",B3,0-6,1B-2B,2,0-1,Ball,Fastball,86,"","","",
"Jensen, C. VS Giosso, G.",Stanford University vs University of San Francisco,,,00:00:05.9,,"Jensen, C.","Giosso, G.",B3,0-6,1B-2B,2,1-1,Foul,Fastball,86,"","","",
"Jensen, C. VS Giosso, G.",Stanford University vs University of San Francisco,,,00:00:05.6,,"Jensen, C.","Giosso, G.",B3,0-6,1B-2B,2,1-2,Ball,Slider,80,"","","",
"Jensen, C. VS Giosso, G.",Stanford University vs University of San Francisco,,,00:00:05.4,,"Jensen, C.","Giosso, G.",B3,0-6,1B-2B,2,2-2,Strike Taken,Slider,77,"","",Strikeout,
"Jensen, C. VS Leehey, N.",UC Davis vs Stanford University,,,00:00:05.4,,"Jensen, C.","Leehey, N.",T4,0-4, - ,0,0-0,Strike Taken,Fastball,89,"","","",
"Jensen, C. VS Leehey, N.",UC Davis vs Stanford University,,,00:00:11.9,,"Jensen, C.","Leehey, N.",T4,0-4, - ,0,0-1,BIP,Slider,78,Line Drive,Lineout,"",
"Jensen, C. VS Henrickson, J.",UC Davis vs Stanford University,,,00:00:04.9,,"Jensen, C.","Henrickson, J.",T4,0-4, - ,1,0-0,Ball,Fastball,89,"","","",
"Jensen, C. VS Henrickson, J.",UC Davis vs Stanford University,,,00:00:10.7,,"Jensen, C.","Henrickson, J.",T4,0-4, - ,1,1-0,BIP,Fastball,88,Line Drive,Single,"",
"Jensen, C. VS Iverson, N.",UC Davis vs Stanford University,,,00:00:05.1,,"Jensen, C.","Iverson, N.",T4,0-4,1B,1,0-0,Strike Taken,Curveball,76,"","","",
"Jensen, C. VS Iverson, N.",UC Davis vs Stanford University,,,00:00:05.5,,"Jensen, C.","Iverson, N.",T4,0-4,1B,1,0-1,Strike Taken,Fastball,88,"","","",
"Jensen, C. VS Iverson, N.",UC Davis vs Stanford University,,,00:00:10.1,,"Jensen, C.","Iverson, N.",T4,0-4,1B,1,0-2,BIP,Fastball,87,Ground Ball,Groundout,"",
"Jensen, C. VS Brandel, J.",UC Davis vs Stanford University,,,00:00:05.3,,"Jensen, C.","Brandel, J.",T4,0-4,2B,2,0-0,Ball,Fastball,88,"","","",
"Jensen, C. VS Brandel, J.",UC Davis vs Stanford University,,,00:00:05.6,,"Jensen, C.","Brandel, J.",T4,0-4,2B,2,1-0,Ball,Fastball,89,"","","",
"Jensen, C. VS Brandel, J.",UC Davis vs Stanford University,,,00:00:05.4,,"Jensen, C.","Brandel, J.",T4,0-4,2B,2,2-0,Ball,Fastball,87,"","","",
"Jensen, C. VS Brandel, J.",UC Davis vs Stanford University,,,00:00:05.4,,"Jensen, C.","Brandel, J.",T4,0-4,2B,2,3-0,Strike Taken,Fastball,88,"","","",
"Jensen, C. VS Brandel, J.",UC Davis vs Stanford University,,,00:00:10.3,,"Jensen, C.","Brandel, J.",T4,0-4,2B,2,3-1,BIP,Fastball,88,Fly Ball,Flyout,"",
"Jensen, C. VS Arenado, K.",UC Davis vs Stanford University,,,00:00:05.2,,"Jensen, C.","Arenado, K.",T5,0-7, - ,0,0-0,Foul,Fastball,88,"","","",
"Jensen, C. VS Arenado, K.",UC Davis vs Stanford University,,,00:00:08.8,,"Jensen, C.","Arenado, K.",T5,0-7, - ,0,0-1,BIP,Slider,78,Line Drive,Lineout,"",
"Jensen, C. VS Sandoval, R.",UC Davis vs Stanford University,,,00:00:05.4,,"Jensen, C.","Sandoval, R.",T5,0-7, - ,1,0-0,Strike Swinging,Fastball,89,"","","",
"Jensen, C. VS Sandoval, R.",UC Davis vs Stanford University,,,00:00:05.6,,"Jensen, C.","Sandoval, R.",T5,0-7, - ,1,0-1,Strike Swinging,Fastball,89,"","","",
"Jensen, C. VS Sandoval, R.",UC Davis vs Stanford University,,,00:00:05.7,,"Jensen, C.","Sandoval, R.",T5,0-7, - ,1,0-2,Foul,Fastball,89,"","","",
"Jensen, C. VS Sandoval, R.",UC Davis vs Stanford University,,,00:00:16.2,,"Jensen, C.","Sandoval, R.",T5,0-7, - ,1,0-2,BIP,Slider,77,Line Drive,Ground Rule Double,"",
"Jensen, C. VS Mico, J.",UC Davis vs Stanford University,,,00:00:06.1,,"Jensen, C.","Mico, J.",T5,0-7,2B,1,0-0,Ball,Fastball,87,"","",Hit By Pitch,
"Jensen, C. VS Williams iii, J.",UC Davis vs Stanford University,,,00:00:05.2,,"Jensen, C.","Williams iii, J.",T5,0-7,1B-2B,1,0-0,Ball,Fastball,86,"","","",
"Jensen, C. VS Williams iii, J.",UC Davis vs Stanford University,,,00:00:05.4,,"Jensen, C.","Williams iii, J.",T5,0-7,1B-2B,1,1-0,Ball,Fastball,86,"","","",
"Jensen, C. VS Williams iii, J.",UC Davis vs Stanford University,,,00:00:11.7,,"Jensen, C.","Williams iii, J.",T5,0-7,1B-2B,1,2-0,BIP,Fastball,88,Fly Ball,Home Run,"",
"Jensen, C. VS Wolbert, M.",UC Davis vs Stanford University,,,00:00:05.3,,"Jensen, C.","Wolbert, M.",T5,3-7, - ,1,0-0,Ball,Fastball,87,"","","",
"Jensen, C. VS Wolbert, M.",UC Davis vs Stanford University,,,00:00:05.4,,"Jensen, C.","Wolbert, M.",T5,3-7, - ,1,1-0,Strike Taken,Slider,77,"","","",
"Jensen, C. VS Wolbert, M.",UC Davis vs Stanford University,,,00:00:05.2,,"Jensen, C.","Wolbert, M.",T5,3-7, - ,1,1-1,Ball,Fastball,88,"","","",
"Jensen, C. VS Wolbert, M.",UC Davis vs Stanford University,,,00:00:05.4,,"Jensen, C.","Wolbert, M.",T5,3-7, - ,1,2-1,Ball,Fastball,89,"","","",
"Jensen, C. VS Wolbert, M.",UC Davis vs Stanford University,,,00:00:05.8,,"Jensen, C.","Wolbert, M.",T5,3-7, - ,1,3-1,Ball,Fastball,86,"","",Walk,
"Jensen, C. VS Leonhardt, B.",Stanford University vs San Diego State University,,,00:00:04.9,,"Jensen, C.","Leonhardt, B.",B7,4-4, - ,1,0-0,Ball,Fastball,90,"","","",
"Jensen, C. VS Leonhardt, B.",Stanford University vs San Diego State University,,,00:00:04.8,,"Jensen, C.","Leonhardt, B.",B7,4-4, - ,1,1-0,Ball,Fastball,88,"","","",
"Jensen, C. VS Leonhardt, B.",Stanford University vs San Diego State University,,,00:00:05.1,,"Jensen, C.","Leonhardt, B.",B7,4-4, - ,1,2-0,Ball,Fastball,89,"","","",
"Jensen, C. VS Leonhardt, B.",Stanford University vs San Diego State University,,,00:00:04.7,,"Jensen, C.","Leonhardt, B.",B7,4-4, - ,1,3-0,Ball,Fastball,87,"","",Walk,
"Jensen, C. VS Carter, X.",Stanford University vs San Diego State University,,,00:00:05.1,,"Jensen, C.","Carter, X.",B7,4-4,1B,1,0-0,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Carter, X.",Stanford University vs San Diego State University,,,00:00:05.1,,"Jensen, C.","Carter, X.",B7,4-4,1B,1,0-1,Ball,Changeup,0,"","","",
"Jensen, C. VS Carter, X.",Stanford University vs San Diego State University,,,00:00:05.3,,"Jensen, C.","Carter, X.",B7,4-4,1B,1,1-1,Ball,Fastball,0,"","","",
"Jensen, C. VS Carter, X.",Stanford University vs San Diego State University,,,00:00:04.6,,"Jensen, C.","Carter, X.",B7,4-4,1B,1,2-1,Foul,Fastball,0,"","","",
"Jensen, C. VS Carter, X.",Stanford University vs San Diego State University,,,00:00:04.9,,"Jensen, C.","Carter, X.",B7,4-4,1B,1,2-2,Ball,Fastball,0,"","","",
"Jensen, C. VS Carter, X.",Stanford University vs San Diego State University,,,00:00:05.2,,"Jensen, C.","Carter, X.",B7,4-4,1B,1,3-2,Ball,Fastball,0,"","",Walk,
"Jensen, C. VS Samuelson, T.",Stanford University vs Cal Poly,,,00:00:06.0,,"Jensen, C.","Samuelson, T.",B1,0-1,1B-2B-3B,2,0-0,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Samuelson, T.",Stanford University vs Cal Poly,,,00:00:04.7,,"Jensen, C.","Samuelson, T.",B1,0-1,1B-2B-3B,2,0-1,Ball,Changeup,0,"","","",
