outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,gtown_score,pa_id
15,375,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,00:00:06.2,,"Tonas, A.","Starke, J.",T9,5,9, - ,1,1,2,Ball,Slider,76,"","",,,T,1,9,9,2
15,376,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,00:00:05.2,,"Tonas, A.","Starke, J.",T9,5,9, - ,1,2,2,Foul,Slider,77,"","",,,T,1,9,9,2
15,377,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,00:00:05.2,,"Tonas, A.","Starke, J.",T9,5,9, - ,1,2,2,Strike Swinging,Slider,77,"","",Strikeout,,T,1,9,9,2
15,378,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,00:00:04.8,,"Tonas, A.","Knight, W.",T9,5,9, - ,2,0,0,Strike Taken,Fastball,86,"","",,,T,1,9,9,3
15,379,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,00:00:04.9,,"Tonas, A.","Knight, W.",T9,5,9, - ,2,0,1,Ball,Fastball,87,"","",,,T,1,9,9,3
15,380,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,00:00:05.1,,"Tonas, A.","Knight, W.",T9,5,9, - ,2,1,1,Ball,Slider,77,"","",,,T,1,9,9,3
15,381,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,00:00:05.8,,"Tonas, A.","Knight, W.",T9,5,9, - ,2,2,1,Ball,Fastball,86,"","",,,T,1,9,9,3
15,382,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,00:00:13.4,,"Tonas, A.","Knight, W.",T9,5,9, - ,2,3,1,BIP,Fastball,86,Fly Ball,Double,,,T,1,9,9,3
15,383,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,00:00:05.6,,"Tonas, A.","Morris, Z.",T9,5,9,2B,2,0,0,Foul,Slider,77,"","",,,T,1,9,9,4
15,384,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,00:00:10.2,,"Tonas, A.","Morris, Z.",T9,5,9,2B,2,0,1,BIP,Changeup,80,Ground Ball,Groundout,,,T,1,9,9,4
16,385,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:05.1,,"Tonas, A.","Cook, B.",T9,7,9, - ,0,0,0,Strike Taken,Fastball,0,"","",,,T,1,9,9,1
16,386,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:10.9,,"Tonas, A.","Cook, B.",T9,7,9, - ,0,0,1,BIP,Fastball,0,Fly Ball,Flyout,,,T,1,9,9,1
16,387,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,00:00:05.4,,"Tonas, A.","Morris, Z.",T9,7,9, - ,1,0,0,Ball,Slider,0,"","",,,T,1,9,9,2
