outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,gtown_score,pa_id
19,268,"Jensen, C. VS Grant, G.",University of Oregon vs Stanford University,,,00:00:04.4,,"Jensen, C.","Grant, G.",T8,4,8,1B-2B,1,1,1,Ball,Slider,73,"","",,,T,1,8,8,2
19,269,"Jensen, C. VS Grant, G.",University of Oregon vs Stanford University,,,00:00:08.5,,"Jensen, C.","Grant, G.",T8,4,8,1B-2B,1,2,1,BIP,Fastball,0,Ground Ball,Grounded Into Double Play,,,T,1,8,8,2
19,270,"Jensen, C. VS Smith, T.",University of Oregon vs Stanford University,,,00:00:04.1,,"Jensen, C.","Smith, T.",T9,4,10, - ,0,0,0,Ball,Slider,74,"","",,,T,1,9,10,3
19,271,"Jensen, C. VS Smith, T.",University of Oregon vs Stanford University,,,00:00:04.5,,"Jensen, C.","Smith, T.",T9,4,10, - ,0,1,0,Strike Taken,Fastball,88,"","",,,T,1,9,10,3
19,272,"Jensen, C. VS Smith, T.",University of Oregon vs Stanford University,,,00:00:04.7,,"Jensen, C.","Smith, T.",T9,4,10, - ,0,1,1,Ball,Changeup,79,"","",,,T,1,9,10,3
19,273,"Jensen, C. VS Smith, T.",University of Oregon vs Stanford University,,,00:00:04.8,,"Jensen, C.","Smith, T.",T9,4,10, - ,0,2,1,Foul,Fastball,88,"","",,,T,1,9,10,3
19,274,"Jensen, C. VS Smith, T.",University of Oregon vs Stanford University,,,00:00:05.9,,"Jensen, C.","Smith, T.",T9,4,10, - ,0,2,2,Foul,Changeup,80,"","",,,T,1,9,10,3
19,275,"Jensen, C. VS Smith, T.",University of Oregon vs Stanford University,,,00:00:13.9,,"Jensen, C.","Smith, T.",T9,4,10, - ,0,2,2,BIP,Changeup,79,Fly Ball,Double,,,T,1,9,10,3
19,276,"Jensen, C. VS Shade, C.",University of Oregon vs Stanford University,,,00:00:04.5,,"Jensen, C.","Shade, C.",T9,4,10,2B,0,0,0,Strike Taken,Fastball,87,"","",,,T,1,9,10,4
19,277,"Jensen, C. VS Shade, C.",University of Oregon vs Stanford University,,,00:00:04.3,,"Jensen, C.","Shade, C.",T9,4,10,2B,0,0,1,Ball,Slider,73,"","",,,T,1,9,10,4
19,278,"Jensen, C. VS Shade, C.",University of Oregon vs Stanford University,,,00:00:09.0,,"Jensen, C.","Shade, C.",T9,4,10,2B,0,1,1,Ball,Changeup,79,"","",,,T,1,9,10,4
19,279,"Jensen, C. VS Shade, C.",University of Oregon vs Stanford University,,,00:00:04.7,,"Jensen, C.","Shade, C.",T9,4,10,3B,0,2,1,Strike Swinging,Fastball,87,"","",,,T,1,9,10,4
19,280,"Jensen, C. VS Shade, C.",University of Oregon vs Stanford University,,,00:00:04.9,,"Jensen, C.","Shade, C.",T9,4,10,3B,0,2,2,Strike Taken,Fastball,89,"","",Strikeout,,T,1,9,10,4
19,281,"Jensen, C. VS Milone, B.",University of Oregon vs Stanford University,,,00:00:04.5,,"Jensen, C.","Milone, B.",T9,4,10,3B,1,0,0,Strike Taken,Fastball,87,"","",,,T,1,9,10,5
19,282,"Jensen, C. VS Milone, B.",University of Oregon vs Stanford University,,,00:00:04.3,,"Jensen, C.","Milone, B.",T9,4,10,3B,1,0,1,Ball,Slider,78,"","",,,T,1,9,10,5
19,283,"Jensen, C. VS Milone, B.",University of Oregon vs Stanford University,,,00:00:12.7,,"Jensen, C.","Milone, B.",T9,4,10,3B,1,1,1,BIP,Slider,75,Fly Ball,Flyout,,,T,1,9,10,5
19,284,"Jensen, C. VS Walsh, J.",University of Oregon vs Stanford University,,,00:00:04.3,,"Jensen, C.","Walsh, J.",T9,4,10,3B,2,0,0,Ball,Fastball,87,"","",,,T,1,9,10,6
