#,Title,Notes,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
54,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Jones, S.",T3,2-0,3B,2,2-1,Ball,Curveball,0,"","",""
55,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Jones, S.",T3,2-0,3B,2,3-1,Ball,Fastball,0,"","",Walk
56,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","All, K.",T3,2-0,1B-3B,2,0-0,Strike Taken,Fastball,0,"","",""
57,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","All, K.",T3,2-0,1B-3B,2,0-1,Strike Taken,Fastball,0,"","",""
58,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:06.4,,"Bloss, J.","All, K.",T3,3-0,1B,2,0-2,Strike Swinging,Fastball,0,"","",Strikeout
59,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:04.8,,"Bloss, J.","Gray, G.",T4,3-0,-,0,0-0,Ball,Fastball,0,"","",""
60,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Gray, G.",T4,3-0,-,0,1-0,Foul,Fastball,0,"","",""
61,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.1,,"Bloss, J.","Gray, G.",T4,3-0,-,0,1-1,Strike Swinging,Fastball,0,"","",""
62,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.4,,"Bloss, J.","Gray, G.",T4,3-0,-,0,1-2,Strike Swinging,Fastball,0,"","",Strikeout
63,"Bloss, J. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","O'halloran, R.",T4,3-0,-,1,0-0,Foul,Fastball,0,"","",""
64,"Bloss, J. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","O'halloran, R.",T4,3-0,-,1,0-1,Ball,Curveball,0,"","",""
65,"Bloss, J. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","O'halloran, R.",T4,3-0,-,1,1-1,Ball,Curveball,0,"","",""
66,"Bloss, J. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","O'halloran, R.",T4,3-0,-,1,2-1,Ball,Fastball,0,"","",""
67,"Bloss, J. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","O'halloran, R.",T4,3-0,-,1,3-1,Ball,Fastball,0,"","",Walk
68,"Bloss, J. VS Galdoni, L.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Galdoni, L.",T4,3-0,1B,1,0-0,Strike Taken,Fastball,0,"","",""
69,"Bloss, J. VS Galdoni, L.",Butler University vs Georgetown University,,,00:00:05.1,,"Bloss, J.","Galdoni, L.",T4,3-0,1B,1,0-1,Ball,Fastball,0,"","",""
70,"Bloss, J. VS Galdoni, L.",Butler University vs Georgetown University,,,00:00:05.5,,"Bloss, J.","Galdoni, L.",T4,3-0,1B,1,1-1,Strike Taken,Fastball,0,"","",""
71,"Bloss, J. VS Galdoni, L.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Galdoni, L.",T4,3-0,1B,1,1-2,Ball,Fastball,0,"","",""
72,"Bloss, J. VS Galdoni, L.",Butler University vs Georgetown University,,,00:00:05.4,,"Bloss, J.","Galdoni, L.",T4,3-0,1B,1,2-2,Strike Taken,Curveball,0,"","",Strikeout
73,"Bloss, J. VS Defries, J.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","Defries, J.",T4,3-0,2B,2,0-0,Ball,Fastball,0,"","",""
74,"Bloss, J. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Defries, J.",T4,3-0,2B,2,1-0,Strike Taken,Fastball,0,"","",""
75,"Bloss, J. VS Defries, J.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","Defries, J.",T4,3-0,2B,2,1-1,Ball,Fastball,0,"","",""
76,"Bloss, J. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Defries, J.",T4,3-0,2B,2,2-1,Foul,Fastball,0,"","",""
77,"Bloss, J. VS Defries, J.",Butler University vs Georgetown University,,,00:00:04.7,,"Bloss, J.","Defries, J.",T4,3-0,2B,2,2-2,Ball,Fastball,0,"","",""
78,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.0,,"Bloss, J.","Urban, J.",T4,3-0,1B-2B,2,0-0,Strike Taken,Curveball,0,"","",""
79,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Urban, J.",T4,3-0,1B-2B,2,0-1,Foul,Fastball,0,"","",""
80,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.4,,"Bloss, J.","Urban, J.",T4,3-0,1B-2B,2,0-2,Foul,Fastball,0,"","",""
81,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Urban, J.",T4,3-0,1B-2B,2,0-2,Strike Swinging,Curveball,0,"","",Strikeout
82,"Bloss, J. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:11.7,,"Bloss, J.","Dorighi, C.",T5,3-0,-,0,0-0,BIP,Fastball,0,Line Drive,Single,""
83,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Carter, X.",T5,3-0,1B,0,0-0,Strike Taken,Fastball,0,"","",""
84,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.0,,"Bloss, J.","Carter, X.",T5,3-0,1B,0,0-1,Ball,Curveball,0,"","",""
85,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:07.9,,"Bloss, J.","Carter, X.",T5,3-0,1B,0,1-1,Strike Swinging,Curveball,0,"","",""
86,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.8,,"Bloss, J.","Carter, X.",T5,3-0,1B,0,1-2,Strike Swinging,Changeup,0,"","",Strikeout
87,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:07.5,,"Bloss, J.","Jones, S.",T5,3-0,1B,1,0-0,Ball,Curveball,0,"","",""
88,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Jones, S.",T5,3-0,2B,1,1-0,Foul,Fastball,0,"","",""
89,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Jones, S.",T5,3-0,2B,1,1-1,Strike Swinging,Curveball,0,"","",""
90,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Jones, S.",T5,3-0,2B,1,1-2,Ball,Fastball,0,"","",""
91,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:12.3,,"Bloss, J.","Jones, S.",T5,3-0,2B,1,2-2,BIP,Curveball,0,Ground Ball,Groundout,""
92,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.0,,"Bloss, J.","All, K.",T5,3-0,3B,2,0-0,Ball,Curveball,0,"","",""
93,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","All, K.",T5,3-0,3B,2,1-0,Foul,Fastball,0,"","",""
94,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","All, K.",T5,3-0,3B,2,1-1,Ball,Curveball,0,"","",""
95,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","All, K.",T5,3-0,3B,2,2-1,Foul,Fastball,0,"","",""
96,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","All, K.",T5,3-0,3B,2,2-2,Foul,Fastball,0,"","",""
97,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.9,,"Bloss, J.","All, K.",T5,3-0,3B,2,2-2,Foul,Curveball,0,"","",""
98,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:13.6,,"Bloss, J.","All, K.",T5,3-0,3B,2,2-2,BIP,Slider,0,Line Drive,Double,""
99,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.0,,"Bloss, J.","Gray, G.",T5,4-0,2B,2,0-0,Strike Taken,Fastball,0,"","",""
100,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Gray, G.",T5,4-0,2B,2,0-1,Strike Swinging,Fastball,0,"","",""
101,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Gray, G.",T5,4-0,2B,2,0-2,Foul,Fastball,0,"","",""
102,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Gray, G.",T5,4-0,2B,2,0-2,Ball,Fastball,0,"","",""
103,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.5,,"Bloss, J.","Gray, G.",T5,4-0,2B,2,1-2,Ball,Curveball,0,"","",""
104,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Gray, G.",T5,4-0,2B,2,2-2,Strike Swinging,Fastball,0,"","",Strikeout
105,"Bloss, J. VS Brienza, A.",St. John's University (NY) vs Georgetown University,,,00:00:04.7,,"Bloss, J.","Brienza, A.",T1,0-0,-,0,0-0,Strike Taken,Fastball,95,"","",""
